,Gesamtfallzahlen
Bedburg-Hau,473
Emmerich,1306
Geldern,1494
Goch,1092
Issum,429
Kalkar,381
Kerken,360
Kevelaer,1036
Kleve,1850
Kranenburg,472
Rees,695
Rheurdt,168
Straelen,638
Uedem,191
Wachtendonk,271
Weeze,537
