,Gesamtfallzahlen
Bedburg-Hau,461
Emmerich,1258
Geldern,1482
Goch,1085
Issum,424
Kalkar,377
Kerken,350
Kevelaer,1024
Kleve,1804
Kranenburg,458
Rees,685
Rheurdt,168
Straelen,635
Uedem,188
Wachtendonk,271
Weeze,533
