,Gesamtfallzahlen
Bedburg-Hau,591
Emmerich,1510
Geldern,1914
Goch,1337
Issum,496
Kalkar,493
Kerken,426
Kevelaer,1239
Kleve,2322
Kranenburg,535
Rees,754
Rheurdt,201
Straelen,746
Uedem,246
Wachtendonk,305
Weeze,606
