,Gesamtfallzahlen
Bedburg-Hau,738
Emmerich,2026
Geldern,2617
Goch,1918
Issum,700
Kalkar,850
Kerken,636
Kevelaer,1675
Kleve,3144
Kranenburg,689
Rees,1168
Rheurdt,268
Straelen,1111
Uedem,369
Wachtendonk,453
Weeze,853
