,Gesamtfallzahlen
Bedburg-Hau,965
Emmerich,2708
Geldern,3384
Goch,2566
Issum,954
Kalkar,1359
Kerken,966
Kevelaer,2450
Kleve,4651
Kranenburg,914
Rees,1474
Rheurdt,418
Straelen,1547
Uedem,551
Wachtendonk,754
Weeze,1269
