,Gesamtfallzahlen
Bedburg-Hau,646
Emmerich,1694
Geldern,2170
Goch,1598
Issum,576
Kalkar,689
Kerken,512
Kevelaer,1428
Kleve,2619
Kranenburg,612
Rees,957
Rheurdt,234
Straelen,891
Uedem,303
Wachtendonk,363
Weeze,736
