,Gesamtfallzahlen
Bedburg-Hau,1231
Emmerich,3361
Geldern,4320
Goch,3185
Issum,1224
Kalkar,1822
Kerken,1292
Kevelaer,3076
Kleve,5624
Kranenburg,1160
Rees,2053
Rheurdt,575
Straelen,2131
Uedem,745
Wachtendonk,965
Weeze,1530
