,Gesamtfallzahlen
Bedburg-Hau,755
Emmerich,2072
Geldern,2675
Goch,1964
Issum,711
Kalkar,878
Kerken,654
Kevelaer,1690
Kleve,3262
Kranenburg,703
Rees,1176
Rheurdt,287
Straelen,1138
Uedem,375
Wachtendonk,475
Weeze,864
