,Gesamtfallzahlen
Bedburg-Hau,712
Emmerich,1882
Geldern,2421
Goch,1754
Issum,653
Kalkar,775
Kerken,584
Kevelaer,1574
Kleve,2928
Kranenburg,662
Rees,1104
Rheurdt,255
Straelen,1023
Uedem,342
Wachtendonk,416
Weeze,791
