,Gesamtfallzahlen
Bedburg-Hau,594
Emmerich,1516
Geldern,1920
Goch,1346
Issum,498
Kalkar,508
Kerken,431
Kevelaer,1251
Kleve,2351
Kranenburg,535
Rees,761
Rheurdt,202
Straelen,752
Uedem,249
Wachtendonk,307
Weeze,610
