,Gesamtfallzahlen
Bedburg-Hau,545
Emmerich,1435
Geldern,1764
Goch,1220
Issum,461
Kalkar,441
Kerken,382
Kevelaer,1146
Kleve,2111
Kranenburg,514
Rees,729
Rheurdt,186
Straelen,705
Uedem,211
Wachtendonk,279
Weeze,569
