,Gesamtfallzahlen
Bedburg-Hau,462
Emmerich,1278
Geldern,1490
Goch,1088
Issum,426
Kalkar,377
Kerken,352
Kevelaer,1030
Kleve,1811
Kranenburg,467
Rees,692
Rheurdt,168
Straelen,636
Uedem,188
Wachtendonk,273
Weeze,535
