,Gesamtfallzahlen
Bedburg-Hau,880
Emmerich,2493
Geldern,3109
Goch,2359
Issum,863
Kalkar,1170
Kerken,834
Kevelaer,2218
Kleve,4161
Kranenburg,830
Rees,1372
Rheurdt,365
Straelen,1381
Uedem,476
Wachtendonk,634
Weeze,1163
