,Gesamtfallzahlen
Bedburg-Hau,590
Emmerich,1507
Geldern,1911
Goch,1327
Issum,494
Kalkar,484
Kerken,424
Kevelaer,1231
Kleve,2309
Kranenburg,531
Rees,748
Rheurdt,200
Straelen,740
Uedem,243
Wachtendonk,303
Weeze,603
