,Gesamtfallzahlen
Bedburg-Hau,465
Emmerich,1287
Geldern,1496
Goch,1091
Issum,426
Kalkar,377
Kerken,355
Kevelaer,1034
Kleve,1820
Kranenburg,469
Rees,696
Rheurdt,168
Straelen,638
Uedem,189
Wachtendonk,273
Weeze,537
