Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,676,39,625,12
Grefrath,675,34,633,8
Kempen,1854,89,1731,34
Nettetal,2479,124,2298,57
Niederkrüchten,569,29,524,16
Schwalmtal,677,21,642,14
Tönisvorst,1335,68,1246,21
Viersen,4080,218,3745,117
Willich,2244,157,2052,35
o. Angabe,0,0,0,0
Gesamt,14589,779,13496,314
