Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,0,477,12
Grefrath,540,0,532,8
Kempen,1520,5,1482,33
Nettetal,2010,6,1947,57
Niederkrüchten,444,3,425,16
Schwalmtal,527,3,510,14
Tönisvorst,1082,1,1061,20
Viersen,3306,4,3188,114
Willich,1711,5,1671,35
o. Angabe,0,0,0,0
Gesamt,11629,27,11293,309
