Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,568,21,535,12
Grefrath,599,3,588,8
Kempen,1697,29,1635,33
Nettetal,2221,45,2119,57
Niederkrüchten,481,10,455,16
Schwalmtal,613,14,585,14
Tönisvorst,1228,14,1193,21
Viersen,3674,83,3475,116
Willich,1942,44,1863,35
o. Angabe,0,0,0,0
Gesamt,13023,263,12448,312
