Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,490,1,477,12
Grefrath,544,2,534,8
Kempen,1530,9,1488,33
Nettetal,2027,13,1957,57
Niederkrüchten,446,0,430,16
Schwalmtal,530,1,515,14
Tönisvorst,1089,5,1064,20
Viersen,3318,6,3198,114
Willich,1731,11,1685,35
o. Angabe,0,0,0,0
Gesamt,11705,48,11348,309
