Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,626,33,581,12
Grefrath,636,21,607,8
Kempen,1748,33,1681,34
Nettetal,2323,47,2219,57
Niederkrüchten,527,24,487,16
Schwalmtal,652,12,626,14
Tönisvorst,1254,12,1221,21
Viersen,3823,65,3642,116
Willich,2053,55,1963,35
o. Angabe,0,0,0,0
Gesamt,13642,302,13027,313
