Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,583,16,555,12
Grefrath,607,7,592,8
Kempen,1701,3,1664,34
Nettetal,2248,28,2163,57
Niederkrüchten,487,6,465,16
Schwalmtal,634,22,598,14
Tönisvorst,1238,11,1206,21
Viersen,3715,44,3555,116
Willich,1958,15,1908,35
o. Angabe,0,0,0,0
Gesamt,13171,152,12706,313
