Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,977,65,900,12
Grefrath,994,67,913,14
Kempen,2805,271,2493,41
Nettetal,3560,234,3264,62
Niederkrüchten,794,49,729,16
Schwalmtal,1003,71,917,15
Tönisvorst,2123,279,1821,23
Viersen,5850,519,5202,129
Willich,3330,344,2948,38
o. Angabe,0,0,0,0
Gesamt,21436,1899,19187,350
