Kommune,Neuinfektionen,verstorben
Brüggen,7,12
Grefrath,33,15
Kempen,35,42
Nettetal,15,62
Niederkrüchten,14,17
Schwalmtal,7,16
Tönisvorst,30,23
Viersen,55,129
Willich,31,40
o. Angabe,0,0
Gesamt,227,356
