Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,666,32,622,12
Grefrath,667,26,633,8
Kempen,1848,87,1727,34
Nettetal,2459,111,2291,57
Niederkrüchten,568,30,522,16
Schwalmtal,675,19,642,14
Tönisvorst,1328,63,1244,21
Viersen,4044,186,3741,117
Willich,2221,141,2045,35
o. Angabe,0,0,0,0
Gesamt,14476,695,13467,314
