Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,575,18,545,12
Grefrath,599,0,591,8
Kempen,1699,17,1649,33
Nettetal,2239,40,2142,57
Niederkrüchten,483,7,460,16
Schwalmtal,621,22,585,14
Tönisvorst,1234,13,1200,21
Viersen,3699,71,3512,116
Willich,1949,30,1884,35
o. Angabe,0,0,0,0
Gesamt,13098,218,12568,312
