Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,897,44,841,12
Grefrath,915,31,870,14
Kempen,2478,132,2306,40
Nettetal,3274,143,3069,62
Niederkrüchten,728,36,676,16
Schwalmtal,922,78,829,15
Tönisvorst,1804,101,1680,23
Viersen,5249,273,4848,128
Willich,2929,150,2741,38
o. Angabe,0,0,0,0
Gesamt,19196,988,17860,348
