Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,633,33,588,12
Grefrath,639,24,607,8
Kempen,1759,35,1690,34
Nettetal,2351,61,2233,57
Niederkrüchten,537,26,495,16
Schwalmtal,656,11,631,14
Tönisvorst,1267,22,1224,21
Viersen,3852,79,3657,116
Willich,2076,63,1978,35
o. Angabe,0,0,0,0
Gesamt,13770,354,13103,313
