Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,839,72,755,12
Grefrath,871,94,765,12
Kempen,2266,209,2020,37
Nettetal,3048,262,2725,61
Niederkrüchten,674,48,610,16
Schwalmtal,826,79,733,14
Tönisvorst,1659,169,1468,22
Viersen,4790,359,4312,119
Willich,2716,197,2483,36
o. Angabe,0,0,0,0
Gesamt,17689,1489,15871,329
