Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,533,25,496,12
Grefrath,589,26,555,8
Kempen,1626,60,1533,33
Nettetal,2133,62,2014,57
Niederkrüchten,463,8,439,16
Schwalmtal,579,36,529,14
Tönisvorst,1189,80,1089,20
Viersen,3480,94,3272,114
Willich,1876,91,1750,35
o. Angabe,1,0,1,0
Gesamt,12469,482,11678,309
