Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,537,25,500,12
Grefrath,594,29,557,8
Kempen,1632,55,1544,33
Nettetal,2143,69,2017,57
Niederkrüchten,467,11,440,16
Schwalmtal,583,34,535,14
Tönisvorst,1198,77,1101,20
Viersen,3513,114,3285,114
Willich,1882,79,1768,35
o. Angabe,1,0,1,0
Gesamt,12550,493,11748,309
