Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,588,9,567,12
Grefrath,611,9,594,8
Kempen,1708,8,1666,34
Nettetal,2266,23,2186,57
Niederkrüchten,494,7,471,16
Schwalmtal,639,12,613,14
Tönisvorst,1241,5,1215,21
Viersen,3745,35,3594,116
Willich,1981,23,1923,35
o. Angabe,0,0,0,0
Gesamt,13273,131,12829,313
