Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,601,15,574,12
Grefrath,618,8,602,8
Kempen,1723,15,1674,34
Nettetal,2290,27,2206,57
Niederkrüchten,510,20,474,16
Schwalmtal,643,3,626,14
Tönisvorst,1243,2,1220,21
Viersen,3773,35,3622,116
Willich,2016,41,1940,35
o. Angabe,0,0,0,0
Gesamt,13417,166,12938,313
