Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,678,41,625,12
Grefrath,678,36,634,8
Kempen,1865,99,1732,34
Nettetal,2494,135,2301,58
Niederkrüchten,574,34,524,16
Schwalmtal,682,26,642,14
Tönisvorst,1342,73,1248,21
Viersen,4110,235,3758,117
Willich,2260,163,2062,35
o. Angabe,0,0,0,0
Gesamt,14683,842,13526,315
