Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,588,9,567,12
Grefrath,611,11,592,8
Kempen,1708,9,1665,34
Nettetal,2264,23,2184,57
Niederkrüchten,492,6,470,16
Schwalmtal,639,13,612,14
Tönisvorst,1241,7,1213,21
Viersen,3745,40,3589,116
Willich,1979,21,1923,35
o. Angabe,0,0,0,0
Gesamt,13267,139,12815,313
