Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,570,18,540,12
Grefrath,599,0,591,8
Kempen,1698,20,1645,33
Nettetal,2227,45,2125,57
Niederkrüchten,482,9,457,16
Schwalmtal,615,16,585,14
Tönisvorst,1231,12,1198,21
Viersen,3683,72,3495,116
Willich,1945,39,1871,35
o. Angabe,0,0,0,0
Gesamt,13050,231,12507,312
