Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,560,16,532,12
Grefrath,599,6,585,8
Kempen,1691,50,1608,33
Nettetal,2206,48,2101,57
Niederkrüchten,477,8,453,16
Schwalmtal,602,19,569,14
Tönisvorst,1223,18,1184,21
Viersen,3640,103,3422,115
Willich,1926,44,1847,35
o. Angabe,0,0,0,0
Gesamt,12924,312,12301,311
