Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,587,10,565,12
Grefrath,611,11,592,8
Kempen,1708,9,1665,34
Nettetal,2260,20,2183,57
Niederkrüchten,489,4,469,16
Schwalmtal,639,13,612,14
Tönisvorst,1241,8,1212,21
Viersen,3744,41,3587,116
Willich,1975,18,1922,35
o. Angabe,0,0,0,0
Gesamt,13254,134,12807,313
