Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,814,94,708,12
Grefrath,826,116,699,11
Kempen,2169,232,1900,37
Nettetal,2907,288,2559,60
Niederkrüchten,651,57,578,16
Schwalmtal,788,78,696,14
Tönisvorst,1568,159,1388,21
Viersen,4600,338,4143,119
Willich,2607,221,2351,35
o. Angabe,0,0,0,0
Gesamt,16930,1583,15022,325
