Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,506,10,484,12
Grefrath,563,6,549,8
Kempen,1568,29,1506,33
Nettetal,2070,25,1988,57
Niederkrüchten,454,5,433,16
Schwalmtal,546,10,522,14
Tönisvorst,1108,15,1073,20
Viersen,3389,36,3239,114
Willich,1784,27,1722,35
o. Angabe,0,0,0,0
Gesamt,11988,163,11516,309
