Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,14,463,12
Grefrath,539,8,523,8
Kempen,1503,5,1465,33
Nettetal,1996,33,1907,56
Niederkrüchten,433,9,408,16
Schwalmtal,520,10,497,13
Tönisvorst,1079,5,1054,20
Viersen,3291,28,3149,114
Willich,1693,31,1628,34
o. Angabe,0,0,0,0
Gesamt,11543,143,11094,306
