Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,1221,214,995,12
Grefrath,1172,148,1009,15
Kempen,3121,261,2819,41
Nettetal,3902,292,3548,62
Niederkrüchten,915,93,806,16
Schwalmtal,1089,69,1005,15
Tönisvorst,2538,348,2167,23
Viersen,6537,580,5828,129
Willich,3867,448,3381,38
o. Angabe,0,0,0,0
Gesamt,24362,2453,21558,351
