Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,623,31,580,12
Grefrath,634,19,607,8
Kempen,1744,30,1680,34
Nettetal,2317,41,2219,57
Niederkrüchten,522,19,487,16
Schwalmtal,652,12,626,14
Tönisvorst,1251,9,1221,21
Viersen,3813,59,3638,116
Willich,2051,56,1960,35
o. Angabe,0,0,0,0
Gesamt,13607,276,13018,313
