Kommune,bestätigte Fälle
Brüggen,489
Grefrath,539
Kempen,1503
Nettetal,1992
Niederkrüchten,434
Schwalmtal,518
Tönisvorst,1079
Viersen,3287
Willich,1691
o. Angabe,0
Gesamt,11532
