Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,824,82,730,12
Grefrath,849,112,725,12
Kempen,2215,217,1961,37
Nettetal,2984,285,2639,60
Niederkrüchten,664,52,596,16
Schwalmtal,805,79,712,14
Tönisvorst,1612,170,1420,22
Viersen,4687,355,4213,119
Willich,2668,224,2408,36
o. Angabe,0,0,0,0
Gesamt,17308,1576,15404,328
