Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,781,85,684,12
Grefrath,789,89,688,10
Kempen,2103,207,1860,36
Nettetal,2830,276,2495,59
Niederkrüchten,637,50,571,16
Schwalmtal,759,68,677,14
Tönisvorst,1524,153,1350,21
Viersen,4509,320,4070,119
Willich,2561,238,2288,35
o. Angabe,0,0,0,0
Gesamt,16491,1486,14683,322
