Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,1080,133,935,12
Grefrath,1072,97,961,14
Kempen,3021,315,2665,41
Nettetal,3705,245,3398,62
Niederkrüchten,867,95,756,16
Schwalmtal,1060,77,968,15
Tönisvorst,2306,273,2010,23
Viersen,6175,493,5553,129
Willich,3611,393,3180,38
o. Angabe,0,0,0,0
Gesamt,22897,2121,20426,350
