Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,737,70,655,12
Grefrath,724,58,657,9
Kempen,1971,127,1809,35
Nettetal,2670,224,2387,59
Niederkrüchten,606,38,552,16
Schwalmtal,726,55,657,14
Tönisvorst,1437,122,1294,21
Viersen,4328,300,3910,118
Willich,2430,217,2178,35
o. Angabe,0,0,0,0
Gesamt,15629,1211,14099,319
