Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,1548,419,1153,12
Grefrath,1612,453,1144,15
Kempen,4146,998,3106,42
Nettetal,4801,915,3824,62
Niederkrüchten,1274,352,905,17
Schwalmtal,1609,503,1090,16
Tönisvorst,3273,781,2469,23
Viersen,7822,1314,6379,129
Willich,4581,775,3766,40
o. Angabe,0,0,0,0
Gesamt,30702,6510,23836,356
