Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,661,32,617,12
Grefrath,662,24,630,8
Kempen,1822,70,1718,34
Nettetal,2421,91,2273,57
Niederkrüchten,561,29,516,16
Schwalmtal,670,17,639,14
Tönisvorst,1305,50,1234,21
Viersen,3995,164,3714,117
Willich,2172,106,2031,35
,0,0,0,0
Gesamt,14269,583,13372,314
