Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,663,33,618,12
Grefrath,663,24,631,8
Kempen,1829,75,1720,34
Nettetal,2426,85,2284,57
Niederkrüchten,563,27,520,16
Schwalmtal,671,16,641,14
Tönisvorst,1320,58,1241,21
Viersen,4010,163,3730,117
Willich,2192,119,2038,35
o. Angabe,0,0,0,0
Gesamt,14337,600,13423,314
