Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,631,36,583,12
Grefrath,640,25,607,8
Kempen,1756,38,1684,34
Nettetal,2342,61,2224,57
Niederkrüchten,536,29,491,16
Schwalmtal,656,14,628,14
Tönisvorst,1263,21,1221,21
Viersen,3844,83,3645,116
Willich,2071,66,1970,35
o. Angabe,0,0,0,0
Gesamt,13739,373,13053,313
