Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,649,33,604,12
Grefrath,652,22,622,8
Kempen,1791,48,1709,34
Nettetal,2395,83,2255,57
Niederkrüchten,550,31,503,16
Schwalmtal,657,5,638,14
Tönisvorst,1287,38,1228,21
Viersen,3943,137,3689,117
Willich,2134,92,2007,35
o. Angabe,0,0,0,0
Gesamt,14058,489,13255,314
