Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,3,474,12
Grefrath,540,3,529,8
Kempen,1512,12,1467,33
Nettetal,1998,16,1925,57
Niederkrüchten,436,5,415,16
Schwalmtal,523,10,500,13
Tönisvorst,1080,4,1056,20
Viersen,3302,29,3159,114
Willich,1703,24,1645,34
o. Angabe,0,0,0,0
Gesamt,11583,106,11170,307
