Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,0,477,12
Grefrath,542,2,532,8
Kempen,1520,0,1487,33
Nettetal,2013,3,1953,57
Niederkrüchten,446,0,430,16
Schwalmtal,530,2,514,14
Tönisvorst,1085,3,1062,20
Viersen,3311,5,3192,114
Willich,1724,13,1676,35
o. Angabe,0,0,0,0
Gesamt,11660,28,11323,309
