Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,1178,183,983,12
Grefrath,1107,102,990,15
Kempen,3099,269,2789,41
Nettetal,3887,297,3528,62
Niederkrüchten,888,74,798,16
Schwalmtal,1075,66,994,15
Tönisvorst,2478,327,2128,23
Viersen,6498,604,5765,129
Willich,3828,456,3334,38
o. Angabe,0,0,0,0
Gesamt,24038,2378,21309,351
