Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,0,477,12
Grefrath,540,0,532,8
Kempen,1520,6,1481,33
Nettetal,2010,12,1941,57
Niederkrüchten,444,3,425,16
Schwalmtal,525,2,510,13
Tönisvorst,1082,1,1061,20
Viersen,3305,7,3184,114
Willich,1710,6,1669,35
o. Angabe,0,0,0,0
Gesamt,11625,37,11280,308
