Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,605,18,575,12
Grefrath,622,8,606,8
Kempen,1734,25,1675,34
Nettetal,2303,36,2210,57
Niederkrüchten,514,18,480,16
Schwalmtal,645,5,626,14
Tönisvorst,1246,5,1220,21
Viersen,3789,43,3630,116
Willich,2025,46,1944,35
o. Angabe,0,0,0,0
Gesamt,13483,204,12966,313
