Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,0,477,12
Grefrath,540,0,532,8
Kempen,1520,3,1484,33
Nettetal,2010,4,1949,57
Niederkrüchten,445,0,429,16
Schwalmtal,527,3,510,14
Tönisvorst,1082,1,1061,20
Viersen,3307,4,3189,114
Willich,1712,5,1672,35
o. Angabe,0,0,0,0
Gesamt,11632,20,11303,309
