Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,575,16,547,12
Grefrath,601,2,591,8
Kempen,1699,12,1654,33
Nettetal,2239,34,2148,57
Niederkrüchten,482,6,460,16
Schwalmtal,624,23,587,14
Tönisvorst,1234,12,1201,21
Viersen,3703,67,3520,116
Willich,1952,33,1884,35
o. Angabe,0,0,0,0
Gesamt,13109,205,12592,312
