Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,528,23,493,12
Grefrath,577,16,553,8
Kempen,1605,50,1522,33
Nettetal,2111,43,2011,57
Niederkrüchten,461,8,437,16
Schwalmtal,574,32,528,14
Tönisvorst,1172,67,1085,20
Viersen,3459,74,3271,114
Willich,1865,97,1733,35
o. Angabe,0,0,0,0
Gesamt,12352,410,11633,309
