Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,843,69,762,12
Grefrath,876,90,774,12
Kempen,2283,200,2046,37
Nettetal,3074,262,2752,61
Niederkrüchten,679,46,617,16
Schwalmtal,828,74,740,14
Tönisvorst,1667,154,1491,22
Viersen,4839,370,4349,119
Willich,2733,189,2508,36
o. Angabe,0,0,0,0
Gesamt,17822,1454,16039,329
