Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,550,21,517,12
Grefrath,597,16,573,8
Kempen,1671,57,1581,33
Nettetal,2181,63,2061,57
Niederkrüchten,472,8,448,16
Schwalmtal,598,29,555,14
Tönisvorst,1216,42,1154,20
Viersen,3596,121,3360,115
Willich,1907,43,1829,35
o. Angabe,0,0,0,0
Gesamt,12788,400,12078,310
