Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,847,53,782,12
Grefrath,881,85,783,13
Kempen,2306,180,2089,37
Nettetal,3095,233,2802,60
Niederkrüchten,687,46,625,16
Schwalmtal,837,69,754,14
Tönisvorst,1688,143,1523,22
Viersen,4901,379,4402,120
Willich,2757,176,2545,36
o. Angabe,0,0,0,0
Gesamt,17999,1364,16305,330
