Kommune,bestätigte Fälle,aktuell positiv,Genesene,verstorben
Brüggen,489,6,471,12
Grefrath,540,7,525,8
Kempen,1507,8,1466,33
Nettetal,1995,22,1917,56
Niederkrüchten,436,12,408,16
Schwalmtal,520,9,498,13
Tönisvorst,1079,4,1055,20
Viersen,3300,33,3153,114
Willich,1700,27,1639,34
o. Angabe,0,0,0,0
Gesamt,11566,128,11132,306
